lemma_clean,lemma_macron,full_headword_source,pos,semantic_group,rank,definition_source
durus,dūrus,dūrus -a -um,Adjective: 1st and 2nd Declension,Other Senses,249,"hard, tough, harsh"
dux,dux,dux ducis m./f.,Noun: 3rd Declension,War and Peace,239,"leader, general"
ecce,ecce,ecce,Adverb,Vision,643,behold!
edico,ēdīcō,ēdīcō -dīcere -dīxī -dictum,Verb: 3rd Conjugation -ō,Speech/Oratory,996,declare
edo,ēdō,ēdō ēdere ēdidī ēditum,Verb: 3rd Conjugation -ō,Speech/Oratory,688,"put forth, state, explain"
educo,ēdūcō,ēdūcō -dūcere -dūxī -ductum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,935,lead forth
efficio,efficiō,efficiō -ficere -fēcī -fectum,Verb: 3rd Conjugation -iō,Making/Doing,573,"bring about, complete; render (+ ut + subj.)"
effundo,effundō,effundō -fundere -fūdī -fūsum,Verb: 3rd Conjugation -ō,Earth and Water,719,pour out
ego,ego,ego meī mihi mē,Pronoun,Pronouns/Interrogatives,11,"I, me"
egredior,ēgredior,ēgredior ēgredī ēgressus sum,Verb: Deponent,Travel,912,"stride out, depart, disembark from (+ abl.)"
